filename,recID,date,time,treatment,group_id,door_color,frame#,IN/OUT(1/-1),info,note
rec_0000_group_task_groupid_003_treatment_dddd_20220803_142456,0,20220803,142456,dddd,3,,0,0,,with_door
rec_0001_group_task_groupid_001_treatment_cccc_20220803_152609,1,20220803,152609,cccc,1,,0,0,,with_door
rec_0002_group_task_groupid_002_treatment_ccdd_20220803_162700,2,20220803,162700,ccdd,2,,0,0,,with_door
rec_0003_group_task_groupid_005_treatment_cccc_20220803_170921,3,20220803,170921,cccc,5,,0,0,,with_door
rec_0004_group_task_groupid_008_treatment_ccdd_20220805_111130,4,20220805,111130,ccdd,8,,0,0,,with_door
rec_0005_group_task_groupid_010_treatment_nnnn_20220805_115225,5,20220805,115225,nnnn,10,,0,0,,with_door
rec_0006_group_task_groupid_015_treatment_dddd_20220810_112732,6,20220810,112732,dddd,15,G,9159,1,,without_door
rec_0006_group_task_groupid_015_treatment_dddd_20220810_112732,6,20220810,112732,dddd,15,G,9257,-1,,without_door
rec_0006_group_task_groupid_015_treatment_dddd_20220810_112732,6,20220810,112732,dddd,15,Y,11756,1,,without_door
rec_0006_group_task_groupid_015_treatment_dddd_20220810_112732,6,20220810,112732,dddd,15,Y,11849,-1,,without_door
rec_0006_group_task_groupid_015_treatment_dddd_20220810_112732,6,20220810,112732,dddd,15,Y,11931,1,,without_door
rec_0006_group_task_groupid_015_treatment_dddd_20220810_112732,6,20220810,112732,dddd,15,Y,12022,-1,,without_door
rec_0006_group_task_groupid_015_treatment_dddd_20220810_112732,6,20220810,112732,dddd,15,G,15709,1,,without_door
rec_0006_group_task_groupid_015_treatment_dddd_20220810_112732,6,20220810,112732,dddd,15,G,15728,1,,without_door
rec_0006_group_task_groupid_015_treatment_dddd_20220810_112732,6,20220810,112732,dddd,15,G,15729,1,,without_door
rec_0006_group_task_groupid_015_treatment_dddd_20220810_112732,6,20220810,112732,dddd,15,G,15770,1,,without_door
rec_0006_group_task_groupid_015_treatment_dddd_20220810_112732,6,20220810,112732,dddd,15,G,16408,-1,,without_door
rec_0006_group_task_groupid_015_treatment_dddd_20220810_112732,6,20220810,112732,dddd,15,G,16451,1,,without_door
rec_0006_group_task_groupid_015_treatment_dddd_20220810_112732,6,20220810,112732,dddd,15,G,16986,-1,,without_door
rec_0006_group_task_groupid_015_treatment_dddd_20220810_112732,6,20220810,112732,dddd,15,G,17019,1,,without_door
rec_0006_group_task_groupid_015_treatment_dddd_20220810_112732,6,20220810,112732,dddd,15,G,18526,-1,,without_door
rec_0006_group_task_groupid_015_treatment_dddd_20220810_112732,6,20220810,112732,dddd,15,G,18544,-1,,without_door
rec_0006_group_task_groupid_015_treatment_dddd_20220810_112732,6,20220810,112732,dddd,15,G,18568,-1,,without_door
rec_0006_group_task_groupid_015_treatment_dddd_20220810_112732,6,20220810,112732,dddd,15,G,18594,-1,,without_door
rec_0006_group_task_groupid_015_treatment_dddd_20220810_112732,6,20220810,112732,dddd,15,B,29922,1,,without_door
rec_0006_group_task_groupid_015_treatment_dddd_20220810_112732,6,20220810,112732,dddd,15,B,29959,1,,without_door
rec_0006_group_task_groupid_015_treatment_dddd_20220810_112732,6,20220810,112732,dddd,15,B,29994,1,,without_door
rec_0006_group_task_groupid_015_treatment_dddd_20220810_112732,6,20220810,112732,dddd,15,B,30010,1,,without_door
rec_0007_group_task_groupid_014_treatment_ccdd_20220810_120421,7,20220810,120421,ccdd,14,Y,1412,1,,without_door
rec_0007_group_task_groupid_014_treatment_ccdd_20220810_120421,7,20220810,120421,ccdd,14,G,3681,1,,without_door
rec_0007_group_task_groupid_014_treatment_ccdd_20220810_120421,7,20220810,120421,ccdd,14,Y,4136,-1,,without_door
rec_0007_group_task_groupid_014_treatment_ccdd_20220810_120421,7,20220810,120421,ccdd,14,G,4359,-1,,without_door
rec_0007_group_task_groupid_014_treatment_ccdd_20220810_120421,7,20220810,120421,ccdd,14,G,7628,1,,without_door
rec_0007_group_task_groupid_014_treatment_ccdd_20220810_120421,7,20220810,120421,ccdd,14,G,7684,1,,without_door
rec_0007_group_task_groupid_014_treatment_ccdd_20220810_120421,7,20220810,120421,ccdd,14,G,8230,-1,,without_door
rec_0007_group_task_groupid_014_treatment_ccdd_20220810_120421,7,20220810,120421,ccdd,14,G,8283,-1,,without_door
rec_0008_group_task_groupid_013_treatment_cccc_20220810_134145,8,20220810,134145,cccc,13,G,8875,1,,without_door
rec_0008_group_task_groupid_013_treatment_cccc_20220810_134145,8,20220810,134145,cccc,13,Y,9281,1,,without_door
rec_0008_group_task_groupid_013_treatment_cccc_20220810_134145,8,20220810,134145,cccc,13,Y,9305,1,,without_door
