camera#,filename,recid,instance#,species,run#,block#,id,group_id,tagged_treatment,corrected_treatment,tagging_date,mother_tag_color,treatment_tag_color,holding_tank#,rack_tank#,testing_tank#,size#mm,converted#tgrabs,tracked#trex,checked#bt,finished,location,note,location(switch tank 21-22)
24248662,rec0002_colorchoice_20220801_103424.24248662,2,0,P.formosa,1,1,1,1,C,C,29.07.22,yellow,orange,S24,R079,7,,x,x,,x,bottom right,,bottom right
24248662,rec0005_colorchoice_20220801_125836.24248662,5,1,P.formosa,1,1,1,1,C,C,29.07.22,yellow,orange,S24,R079,7,,x,x,,x,bottom right,,bottom right
24248662,rec0008_colorchoice_20220801_144915.24248662,8,2,P.formosa,1,1,1,1,C,C,29.07.22,yellow,orange,S24,R079,7,,x,x,,x,bottom right,,bottom right
24248662,rec0011_colorchoice_20220801_163429.24248662,11,3,P.formosa,1,1,1,1,C,C,29.07.22,yellow,orange,S24,R079,7,,x,x,,x,bottom right,,bottom right
24248662,rec0014_colorchoice_20220802_103805.24248662,14,4,P.formosa,1,1,1,1,C,C,29.07.22,yellow,orange,S24,R079,7,,x,x,,x,bottom right,,bottom right
24248662,rec0017_colorchoice_20220802_123455.24248662,17,5,P.formosa,1,1,1,1,C,C,29.07.22,yellow,orange,S24,R079,7,,x,x,,x,bottom right,,bottom right
24248662,rec0020_colorchoice_20220802_140707.24248662,20,6,P.formosa,1,1,1,1,C,C,29.07.22,yellow,orange,S24,R079,7,,x,x,,x,bottom right,,bottom right
24248662,rec0023_colorchoice_20220802_163733.24248662,23,7,P.formosa,1,1,1,1,C,C,29.07.22,yellow,orange,S24,R079,7,,x,x,,x,bottom right,,bottom right
24248654,rec0001_colorchoice_20220801_103424.24248654,1,0,P.formosa,1,1,2,1,C,C,29.07.22,yellow,orange,S24,R079,3,,x,x,,x,bottom right,,bottom right
24248654,rec0004_colorchoice_20220801_125836.24248654,4,1,P.formosa,1,1,2,1,C,C,29.07.22,yellow,orange,S24,R079,3,,x,x,,x,bottom right,,bottom right
24248654,rec0007_colorchoice_20220801_144915.24248654,7,2,P.formosa,1,1,2,1,C,C,29.07.22,yellow,orange,S24,R079,3,,x,x,,x,bottom right,,bottom right
24248654,rec0010_colorchoice_20220801_163429.24248654,10,3,P.formosa,1,1,2,1,C,C,29.07.22,yellow,orange,S24,R079,3,,x,x,,x,bottom right,,bottom right
24248654,rec0013_colorchoice_20220802_103805.24248654,13,4,P.formosa,1,1,2,1,C,C,29.07.22,yellow,orange,S24,R079,3,,x,x,,x,bottom right,,bottom right
24248654,rec0016_colorchoice_20220802_123455.24248654,16,5,P.formosa,1,1,2,1,C,C,29.07.22,yellow,orange,S24,R079,3,,x,x,,x,bottom right,,bottom right
24248654,rec0019_colorchoice_20220802_140707.24248654,19,6,P.formosa,1,1,2,1,C,C,29.07.22,yellow,orange,S24,R079,3,,x,x,,x,bottom right,,bottom right
24248654,rec0022_colorchoice_20220802_163733.24248654,22,7,P.formosa,1,1,2,1,C,C,29.07.22,yellow,orange,S24,R079,3,,x,x,,x,bottom right,,bottom right
24248653,rec0000_colorchoice_20220801_103424.24248653,0,0,P.formosa,1,1,3,1,C,C,29.07.22,yellow,orange,S24,R079,10,,x,x,,x,top right,,top right
24248653,rec0003_colorchoice_20220801_125836.24248653,3,1,P.formosa,1,1,3,1,C,C,29.07.22,yellow,orange,S24,R079,10,,x,x,,x,top right,,top right
24248653,rec0006_colorchoice_20220801_144915.24248653,6,2,P.formosa,1,1,3,1,C,C,29.07.22,yellow,orange,S24,R079,10,,x,x,,x,top right,,top right
24248653,rec0009_colorchoice_20220801_163429.24248653,9,3,P.formosa,1,1,3,1,C,C,29.07.22,yellow,orange,S24,R079,10,,x,x,,x,top right,,top right
24248653,rec0012_colorchoice_20220802_103805.24248653,12,4,P.formosa,1,1,3,1,C,C,29.07.22,yellow,orange,S24,R079,10,,x,x,,x,top right,,top right
24248653,rec0015_colorchoice_20220802_123455.24248653,15,5,P.formosa,1,1,3,1,C,C,29.07.22,yellow,orange,S24,R079,10,,x,x,,x,top right,,top right
24248653,rec0018_colorchoice_20220802_140707.24248653,18,6,P.formosa,1,1,3,1,C,C,29.07.22,yellow,orange,S24,R079,10,,x,x,,x,top right,,top right
24248653,rec0021_colorchoice_20220802_163733.24248653,21,7,P.formosa,1,1,3,1,C,C,29.07.22,yellow,orange,S24,R079,10,,x,x,,x,top right,,top right
24248662,rec0002_colorchoice_20220801_103424.24248662,2,0,P.formosa,1,1,4,1,C,C,29.07.22,yellow,orange,S24,R079,6,,x,x,,x,top right,,top right
24248662,rec0005_colorchoice_20220801_125836.24248662,5,1,P.formosa,1,1,4,1,C,C,29.07.22,yellow,orange,S24,R079,6,,x,x,,x,top right,,top right
24248662,rec0008_colorchoice_20220801_144915.24248662,8,2,P.formosa,1,1,4,1,C,C,29.07.22,yellow,orange,S24,R079,6,,x,x,,x,top right,,top right
24248662,rec0011_colorchoice_20220801_163429.24248662,11,3,P.formosa,1,1,4,1,C,C,29.07.22,yellow,orange,S24,R079,6,,x,x,,x,top right,,top right
24248662,rec0014_colorchoice_20220802_103805.24248662,14,4,P.formosa,1,1,4,1,C,C,29.07.22,yellow,orange,S24,R079,6,,x,x,,x,top right,,top right
24248662,rec0017_colorchoice_20220802_123455.24248662,17,5,P.formosa,1,1,4,1,C,C,29.07.22,yellow,orange,S24,R079,6,,x,x,,x,top right,,top right
24248662,rec0020_colorchoice_20220802_140707.24248662,20,6,P.formosa,1,1,4,1,C,C,29.07.22,yellow,orange,S24,R079,6,,x,x,,x,top right,,top right
24248662,rec0023_colorchoice_20220802_163733.24248662,23,7,P.formosa,1,1,4,1,C,C,29.07.22,yellow,orange,S24,R079,6,,x,x,,x,top right,,top right
24248653,rec0000_colorchoice_20220801_103424.24248653,0,0,P.formosa,1,1,5,2,C,C,29.07.22,yellow,orange,S24,R079,11,,x,x,,x,bottom right,,bottom right
24248653,rec0003_colorchoice_20220801_125836.24248653,3,1,P.formosa,1,1,5,2,C,C,29.07.22,yellow,orange,S24,R079,11,,x,x,,x,bottom right,,bottom right
24248653,rec0006_colorchoice_20220801_144915.24248653,6,2,P.formosa,1,1,5,2,C,C,29.07.22,yellow,orange,S24,R079,11,,x,x,,x,bottom right,,bottom right
24248653,rec0009_colorchoice_20220801_163429.24248653,9,3,P.formosa,1,1,5,2,C,C,29.07.22,yellow,orange,S24,R079,11,,x,x,,x,bottom right,,bottom right
24248653,rec0012_colorchoice_20220802_103805.24248653,12,4,P.formosa,1,1,5,2,C,C,29.07.22,yellow,orange,S24,R079,11,,x,x,,x,bottom right,,bottom right
24248653,rec0015_colorchoice_20220802_123455.24248653,15,5,P.formosa,1,1,5,2,C,C,29.07.22,yellow,orange,S24,R079,11,,x,x,,x,bottom right,,bottom right
24248653,rec0018_colorchoice_20220802_140707.24248653,18,6,P.formosa,1,1,5,2,C,C,29.07.22,yellow,orange,S24,R079,11,,x,x,,x,bottom right,,bottom right
24248653,rec0021_colorchoice_20220802_163733.24248653,21,7,P.formosa,1,1,5,2,C,C,29.07.22,yellow,orange,S24,R079,11,,x,x,,x,bottom right,,bottom right
