filename,recID,date,time,treatment,id,tank#no,frame#,IN/OUT(1/-1),info,note,Erroneous
rec0024_doorchoice_20220803_110948.24248657,24,2022/08/03,110948,without_food,43,24,3855,1,,,
rec0024_doorchoice_20220803_110948.24248657,24,2022/08/03,110948,without_food,43,24,6567,-1,,,
rec0024_doorchoice_20220803_110948.24248657,24,2022/08/03,110948,without_food,43,24,8569,1,,,
rec0025_doorchoice_20220803_110948.24248658,25,2022/08/03,110948,without_food,32,16,788,1,,,
rec0025_doorchoice_20220803_110948.24248658,25,2022/08/03,110948,without_food,32,16,1612,-1,,,
rec0025_doorchoice_20220803_110948.24248658,25,2022/08/03,110948,without_food,32,16,8317,1,,,
rec0025_doorchoice_20220803_110948.24248658,25,2022/08/03,110948,without_food,32,16,10438,-1,,,
rec0026_doorchoice_20220803_110948.24248661,26,2022/08/03,110948,without_food,33,20,3058,1,,,
rec0026_doorchoice_20220803_110948.24248661,26,2022/08/03,110948,without_food,34,17,5523,1,,,
rec0026_doorchoice_20220803_110948.24248661,26,2022/08/03,110948,without_food,33,20,5658,-1,,,
rec0026_doorchoice_20220803_110948.24248661,26,2022/08/03,110948,without_food,36,19,5857,1,,,
rec0026_doorchoice_20220803_110948.24248661,26,2022/08/03,110948,without_food,34,17,7801,-1,,,
rec0026_doorchoice_20220803_110948.24248661,26,2022/08/03,110948,without_food,36,19,8737,-1,,,
rec0026_doorchoice_20220803_110948.24248661,26,2022/08/03,110948,without_food,36,19,9537,1,,,
rec0026_doorchoice_20220803_110948.24248661,26,2022/08/03,110948,without_food,34,17,10548,1,,,
rec0027_doorchoice_20220803_121613.24248657,27,2022/08/03,121613,with_food,43,24,3492,1,,,
rec0027_doorchoice_20220803_121613.24248657,27,2022/08/03,121613,with_food,47,22,6925,1,,,
rec0028_doorchoice_20220803_121613.24248658,28,2022/08/03,121613,with_food,32,15,6545,1,,,
rec0028_doorchoice_20220803_121613.24248658,28,2022/08/03,121613,with_food,32,15,7213,-1,,,
rec0029_doorchoice_20220803_121613.24248661,29,2022/08/03,121613,with_food,34,17,8213,1,,,
rec0029_doorchoice_20220803_121613.24248661,29,2022/08/03,121613,with_food,36,19,8590,1,,,
rec0029_doorchoice_20220803_121613.24248661,29,2022/08/03,121613,with_food,33,20,8835,1,,,
rec0029_doorchoice_20220803_121613.24248661,29,2022/08/03,121613,with_food,34,17,8910,-1,,,
rec0030_doorchoice_20220803_144831.24248657,30,2022/08/03,144831,with_food,43,24,1643,1,,,
rec0031_doorchoice_20220803_144831.24248658,31,2022/08/03,144831,with_food,,,,,,,
rec0032_doorchoice_20220803_144831.24248661,32,2022/08/03,144831,with_food,33,20,3007,1,,,
rec0032_doorchoice_20220803_144831.24248661,32,2022/08/03,144831,with_food,36,19,4369,1,,,
rec0032_doorchoice_20220803_144831.24248661,32,2022/08/03,144831,with_food,34,17,4613,1,,,
rec0032_doorchoice_20220803_144831.24248661,32,2022/08/03,144831,with_food,33,20,4670,-1,,,
rec0032_doorchoice_20220803_144831.24248661,32,2022/08/03,144831,with_food,34,17,6008,-1,,,
rec0033_doorchoice_20220803_163909.24248657,33,2022/08/03,163909,with_food,43,24,4518,1,,,
rec0033_doorchoice_20220803_163909.24248657,33,2022/08/03,163909,with_food,47,22,8562,1,,,
rec0048_doorchoice_20220808_103213.24248657,48,2022/08/08,103213,without_food,57,23,8892,1,,,
rec0049_doorchoice_20220808_103213.24248658,49,2022/08/08,103213,without_food,72,15,4947,1,,,
rec0049_doorchoice_20220808_103213.24248658,49,2022/08/08,103213,without_food,72,15,7916,-1,,,
rec0049_doorchoice_20220808_103213.24248658,49,2022/08/08,103213,without_food,72,15,8691,1,,,
rec0049_doorchoice_20220808_103213.24248658,49,2022/08/08,103213,without_food,72,15,9812,-1,,,
rec0050_doorchoice_20220808_103213.24248661,50,2022/08/08,103213,without_food,71,19,7359,1,,,
rec0050_doorchoice_20220808_103213.24248661,50,2022/08/08,103213,without_food,71,19,9555,-1,,,
rec0051_doorchoice_20220808_121714.24248657,51,2022/08/08,121714,with_food,57,23,1751,1,,,
rec0051_doorchoice_20220808_121714.24248657,51,2022/08/08,121714,with_food,59,21,3117,1,,,
rec0052_doorchoice_20220808_121714.24248658,52,2022/08/08,121714,with_food,72,15,2293,1,,,
rec0052_doorchoice_20220808_121714.24248658,52,2022/08/08,121714,with_food,72,15,4648,-1,,,
rec0052_doorchoice_20220808_121714.24248658,52,2022/08/08,121714,with_food,72,15,9741,1,,,
rec0053_doorchoice_20220808_121714.24248661,53,2022/08/08,121714,with_food,71,19,8453,1,,,
rec0054_doorchoice_20220808_142045.24248657,54,2022/08/08,142045,with_food,57,23,4976,1,,,
rec0054_doorchoice_20220808_142045.24248657,54,2022/08/08,142045,with_food,69,22,4973,1,,,
rec0054_doorchoice_20220808_142045.24248657,54,2022/08/08,142045,with_food,59,21,10395,1,,,
rec0055_doorchoice_20220808_142045.24248658,55,2022/08/08,142045,with_food,72,15,9517,1,,,
rec0055_doorchoice_20220808_142045.24248658,55,2022/08/08,142045,with_food,72,15,9643,-1,,,
rec0056_doorchoice_20220808_142045.24248661,56,2022/08/08,142045,with_food,71,19,2065,1,,,
rec0056_doorchoice_20220808_142045.24248661,56,2022/08/08,142045,with_food,56,18,9302,1,,,
rec0057_doorchoice_20220808_161942.24248657,57,2022/08/08,142045,with_food,57,23,935,1,,,
rec0057_doorchoice_20220808_161942.24248657,57,2022/08/08,142045,with_food,59,21,1196,1,,,
rec0057_doorchoice_20220808_161942.24248657,57,2022/08/08,142045,with_food,57,23,2023,-1,,,
rec0057_doorchoice_20220808_161942.24248657,57,2022/08/08,142045,with_food,57,23,2098,1,,,
rec0057_doorchoice_20220808_161942.24248657,57,2022/08/08,142045,with_food,57,23,2470,-1,,,
rec0057_doorchoice_20220808_161942.24248657,57,2022/08/08,142045,with_food,57,23,2685,1,,,
rec0057_doorchoice_20220808_161942.24248657,57,2022/08/08,142045,with_food,69,22,3620,1,,,
rec0057_doorchoice_20220808_161942.24248657,57,2022/08/08,142045,with_food,57,23,3752,-1,,,
rec0057_doorchoice_20220808_161942.24248657,57,2022/08/08,142045,with_food,57,23,4781,1,,,
rec0057_doorchoice_20220808_161942.24248657,57,2022/08/08,142045,with_food,59,21,5421,-1,,,
rec0057_doorchoice_20220808_161942.24248657,57,2022/08/08,142045,with_food,69,22,7857,-1,,,
rec0057_doorchoice_20220808_161942.24248657,57,2022/08/08,142045,with_food,57,23,8315,-1,,,
rec0057_doorchoice_20220808_161942.24248657,57,2022/08/08,142045,with_food,57,23,8550,1,,,
rec0057_doorchoice_20220808_161942.24248657,57,2022/08/08,142045,with_food,59,21,9811,1,,,
rec0057_doorchoice_20220808_161942.24248657,57,2022/08/08,142045,with_food,57,23,10043,-1,,,
rec0057_doorchoice_20220808_161942.24248657,57,2022/08/08,142045,with_food,59,21,10124,-1,,,
rec0057_doorchoice_20220808_161942.24248657,57,2022/08/08,142045,with_food,59,21,10310,1,,,
rec0057_doorchoice_20220808_161942.24248657,57,2022/08/08,142045,with_food,69,22,10686,-1,,,
rec0058_doorchoice_20220808_161942.24248658,58,2022/08/08,142045,with_food,72,15,3841,1,,,
rec0058_doorchoice_20220808_161942.24248658,58,2022/08/08,142045,with_food,72,15,5051,-1,,,
rec0058_doorchoice_20220808_161942.24248658,58,2022/08/08,142045,with_food,72,15,5911,1,,,
rec0058_doorchoice_20220808_161942.24248658,58,2022/08/08,142045,with_food,72,15,6126,-1,,,
rec0058_doorchoice_20220808_161942.24248658,58,2022/08/08,142045,with_food,72,15,6325,1,,,
rec0059_doorchoice_20220808_161942.24248661,59,2022/08/08,142045,with_food,56,18,3055,1,,,
rec0059_doorchoice_20220808_161942.24248661,59,2022/08/08,142045,with_food,71,19,4111,1,,,
rec0059_doorchoice_20220808_161942.24248661,59,2022/08/08,142045,with_food,71,19,5299,-1,,,
rec0059_doorchoice_20220808_161942.24248661,59,2022/08/08,142045,with_food,56,18,5452,-1,,,
rec0059_doorchoice_20220808_161942.24248661,59,2022/08/08,142045,with_food,71,19,5905,1,,,
rec0059_doorchoice_20220808_161942.24248661,59,2022/08/08,142045,with_food,56,18,6297,1,,,
rec0059_doorchoice_20220808_161942.24248661,59,2022/08/08,142045,with_food,56,18,6423,-1,,,
rec0059_doorchoice_20220808_161942.24248661,59,2022/08/08,142045,with_food,71,19,7239,-1,,,
rec0059_doorchoice_20220808_161942.24248661,59,2022/08/08,142045,with_food,56,18,8543,1,,,
rec0059_doorchoice_20220808_161942.24248661,59,2022/08/08,142045,with_food,71,19,9803,-1,,,
rec0060_doorchoice_20220809_104006.24248657,60,2022/08/09,104006,without_food,59,21,3403,1,,,
rec0060_doorchoice_20220809_104006.24248657,60,2022/08/09,104006,without_food,69,22,3642,1,,,
rec0060_doorchoice_20220809_104006.24248657,60,2022/08/09,104006,without_food,57,23,3912,1,,,
rec0060_doorchoice_20220809_104006.24248657,60,2022/08/09,104006,without_food,59,21,4660,-1,,,
rec0060_doorchoice_20220809_104006.24248657,60,2022/08/09,104006,without_food,59,21,4839,1,,,
rec0060_doorchoice_20220809_104006.24248657,60,2022/08/09,104006,without_food,71,19,6074,-1,,,1
