ID,Measurement,Value
32,1,4
32,2,2
32,3,0
32,4,0
32,5,0
32,6,0
32,7,0
32,8,0
33,1,2
33,2,1
33,3,2
33,4,0
33,5,0
33,6,0
33,7,0
33,8,0
34,1,3
34,2,2
34,3,2
34,4,0
34,5,0
34,6,0
34,7,0
34,8,0
36,1,3
36,2,1
36,3,1
36,4,0
36,5,0
36,6,0
36,7,0
36,8,0
43,1,3
43,2,1
43,3,1
43,4,1
43,5,0
43,6,0
43,7,0
43,8,0
47,1,1
47,2,1
47,3,0
47,4,0
47,5,0
47,6,0
47,7,0
47,8,0
55,1,1
55,2,9
55,3,14
55,4,14
55,5,0
55,6,0
55,7,0
55,8,0
56,1,1
56,2,5
56,3,5
56,4,7
56,5,5
56,6,8
56,7,0
56,8,0
57,1,1
57,2,1
57,3,1
57,4,10
57,5,4
57,6,4
57,7,6
57,8,0
59,1,1
59,2,1
59,3,5
59,4,3
59,5,5
59,6,0
59,7,0
59,8,0
69,1,1
69,2,3
69,3,2
69,4,3
69,5,1
69,6,2
69,7,0
69,8,0
71,1,2
71,2,1
71,3,1
71,4,5
71,5,2
71,6,9
71,7,8
71,8,8
72,1,4
72,2,3
72,3,2
72,4,5
72,5,3
72,6,2
72,7,4
72,8,0
79,1,4
79,2,2
79,3,0
79,4,0
79,5,0
79,6,0
79,7,0
79,8,0
80,1,13
80,2,2
80,3,4
80,4,1
80,5,9
80,6,3
80,7,5
80,8,9
81,1,5
81,2,1
81,3,6
81,4,1
81,5,7
81,6,18
81,7,14
81,8,15
82,1,9
82,2,3
82,3,3
82,4,9
82,5,2
82,6,11
82,7,9
82,8,13
83,1,1
83,2,4
83,3,1
83,4,1
83,5,6
83,6,2
83,7,6
83,8,8
84,1,1
84,2,1
84,3,6
84,4,1
84,5,3
84,6,4
84,7,3
84,8,10
91,1,5
91,2,2
91,3,3
91,4,5
91,5,6
91,6,3
91,7,3
91,8,0
92,1,7
92,2,1
92,3,5
92,4,2
92,5,7
92,6,9
92,7,13
92,8,14
123,1,4
123,2,3
123,3,4
123,4,2
123,5,0
123,6,0
123,7,0
123,8,0
124,1,7
124,2,1
124,3,5
124,4,0
124,5,0
124,6,0
124,7,0
124,8,0
125,1,3
125,2,3
125,3,6
125,4,7
125,5,7
125,6,4
125,7,6
125,8,4
126,1,2
126,2,1
126,3,5
126,4,4
126,5,0
126,6,0
126,7,0
126,8,0
127,1,3
127,2,0
127,3,0
127,4,0
127,5,0
127,6,0
127,7,0
127,8,0
128,1,1
128,2,1
128,3,0
128,4,0
128,5,0
128,6,0
128,7,0
128,8,0
137,1,6
137,2,6
137,3,5
137,4,3
137,5,9
137,6,20
137,7,8
137,8,10
138,1,4
138,2,3
138,3,2
138,4,2
138,5,4
138,6,5
138,7,0
138,8,0
139,1,11
139,2,5
139,3,3
139,4,4
139,5,7
139,6,1
139,7,0
139,8,0
140,1,10
140,2,1
140,3,2
140,4,5
140,5,0
140,6,0
140,7,0
140,8,0
147,1,1
147,2,5
147,3,4
147,4,2
147,5,8
147,6,8
147,7,6
147,8,0
148,1,1
148,2,0
148,3,0
148,4,0
148,5,0
148,6,0
148,7,0
148,8,0
149,1,1
149,2,1
149,3,1
149,4,0
149,5,0
149,6,0
149,7,0
149,8,0
150,1,3
150,2,1
150,3,2
150,4,2
150,5,0
150,6,0
150,7,0
150,8,0
151,1,7
151,2,0
151,3,0
151,4,0
151,5,0
151,6,0
151,7,0
151,8,0
152,1,1
152,2,1
152,3,0
152,4,0
152,5,0
152,6,0
152,7,0
152,8,0
159,1,3
159,2,1
159,3,1
159,4,4
159,5,2
159,6,3
159,7,0
159,8,0
160,1,1
160,2,6
160,3,2
160,4,0
160,5,0
160,6,0
160,7,0
160,8,0
